Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
27,Female,United Kingdom,Yes,Yes,No,Unknown, 1-5,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No
34,Male,United States,No,No,No,Never, 26-100,No,Yes,No,No,No,No,Don't know,Very easy,Unknown,No,Unknown,Unknown,No,Maybe,Unknown,No
42,Male,United States,No,No,No,Unknown, 6-25,No,Yes,No,Yes,No,No,Don't know,Very difficult,Unknown,No,Yes,Yes,No,Maybe,No,No
23,Male,Ireland,Yes,Yes,No,Sometimes, 1-5,No,Yes,No,No,No,No,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No
24,Male,United Kingdom,No,No,No,Rarely, 100-500,No,Yes,Unknown,Unknown,Yes,Unknown,Don't know,Very easy,Unknown,Unknown,Unknown,Unknown,No,Maybe,Unknown,No
26,Male,United Kingdom,No,No,Yes,Sometimes, 1000+,No,Yes,Yes,Yes,Unknown,Unknown,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Unknown,No
31,Male,United Kingdom,Yes,No,Yes,Often, 6-25,No,Yes,Unknown,No,No,No,Don't know,Unknown,Unknown,No,Unknown,Yes,No,Maybe,Unknown,No
22,Other,India,No,No,Yes,Never, 1000+,No,Yes,Unknown,Unknown,No,No,Don't know,Very difficult,Yes,Unknown,No,No,Maybe,Maybe,No,No
23,Other,United States,No,No,No,Unknown, 6-25,No,Yes,Unknown,No,No,Unknown,Don't know,Unknown,Unknown,Unknown,Unknown,Yes,No,Maybe,Yes,No
34,Other,Canada,No,Yes,Yes,Sometimes, 1000+,No,No,Yes,Yes,Yes,No,Don't know,Somewhat easy,No,No,Unknown,Yes,No,No,No,No
31,Male,United States,No,No,No,Never, 26-100,No,Yes,Unknown,Unknown,No,Unknown,Don't know,Unknown,Unknown,No,No,Unknown,No,Maybe,Unknown,No
28,Male,United Kingdom,No,No,No,Unknown, 100-500,No,No,No,Unknown,No,Yes,Yes,Somewhat easy,No,No,Unknown,Unknown,Maybe,Maybe,Yes,No
32,Other,United States,No,No,Yes,Often, 6-25,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,Yes
45,Other,United States,No,No,Yes,Sometimes, 1-5,No,Yes,Yes,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Yes,No
33,Male,United States,No,No,No,Unknown, 6-25,Yes,Yes,Unknown,No,No,No,Don't know,Very easy,No,No,Yes,Yes,No,Maybe,Unknown,No
29,Male,Mexico,No,No,No,Never, 6-25,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,No,Yes,Maybe,Yes,No,No
26,Other,India,Yes,No,No,Sometimes, 6-25,No,No,No,No,No,No,Don't know,Somewhat easy,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,No
28,Other,United Kingdom,No,No,No,Never, 26-100,No,Yes,Unknown,No,No,Unknown,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Unknown,No
45,Other,United States,No,No,Yes,Sometimes, 1000+,No,Yes,Unknown,Unknown,Unknown,Unknown,Don't know,Unknown,Yes,Yes,Unknown,Unknown,No,No,Unknown,No
43,Male,United States,No,Yes,Yes,Often, 1000+,Yes,Yes,Yes,Unknown,No,Unknown,Don't know,Very difficult,Yes,Unknown,No,No,No,No,No,No
37,Male,United States,No,No,No,Unknown, 500-1000,Yes,Yes,Yes,No,No,No,Don't know,Unknown,Yes,No,Unknown,No,Maybe,Yes,No,No
24,Male,United Kingdom,No,No,No,Sometimes, 6-25,No,Yes,Unknown,No,No,Unknown,Don't know,Somewhat easy,Unknown,No,Unknown,Yes,Maybe,Yes,Yes,No
26,Male,France,No,No,No,Unknown, 6-25,Yes,Yes,No,Yes,No,No,Don't know,Somewhat easy,No,No,Unknown,No,No,Maybe,Yes,No
23,Male,United Kingdom,No,Yes,No,Unknown, 1-5,Yes,Yes,Unknown,No,No,No,Don't know,Unknown,No,No,Unknown,Yes,Maybe,Yes,Unknown,No
35,Other,United States,No,Yes,Yes,Never, 1000+,No,Yes,Yes,Unknown,Unknown,No,Yes,Somewhat easy,Unknown,No,No,No,No,No,Unknown,No
38,Other,South Africa,Yes,Yes,Yes,Often, 1-5,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,Unknown,Unknown,Unknown,Unknown,No,Maybe,Unknown,Yes
28,Male,United States,No,Yes,Yes,Sometimes, 26-100,No,Yes,Yes,No,No,No,Don't know,Somewhat easy,Unknown,Unknown,Unknown,No,No,Maybe,No,No
28,Male,Russia,No,No,No,Sometimes, 26-100,No,Yes,No,No,No,No,Don't know,Unknown,Yes,Unknown,No,No,No,Maybe,Unknown,No
35,Male,United States,No,No,Yes,Rarely, 6-25,No,Yes,No,No,No,No,Yes,Unknown,No,No,Unknown,Yes,No,No,Unknown,No
32,Other,Germany,No,No,No,Sometimes, 100-500,No,Yes,No,No,No,No,Don't know,Very difficult,Yes,Yes,Unknown,No,No,No,No,Yes
31,Other,Italy,Yes,Yes,No,Never, 6-25,No,Yes,No,No,No,No,Don't know,Somewhat easy,Unknown,Unknown,Unknown,Unknown,No,Maybe,Unknown,No
35,Other,United States,No,No,No,Never, 500-1000,Yes,Yes,Unknown,Unknown,No,No,Don't know,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,No
26,Male,United States,No,No,No,Rarely, 1000+,No,Yes,Yes,No,No,No,Yes,Somewhat easy,No,No,Unknown,Yes,No,Maybe,No,No
27,Male,United States,No,Yes,No,Unknown, 6-25,Yes,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,Unknown,Unknown,Unknown,Unknown,No,Maybe,Yes,No
28,Male,United Kingdom,No,Yes,Yes,Sometimes, 1000+,No,Yes,Unknown,No,No,No,Don't know,Unknown,Unknown,Unknown,Unknown,No,No,Maybe,Unknown,No
27,Other,United States,No,Yes,Yes,Sometimes, 26-100,No,Yes,Yes,No,No,No,Don't know,Very easy,No,No,Unknown,Unknown,No,No,Yes,No
34,Other,United States,No,No,Yes,Sometimes, 500-1000,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Unknown,No,Unknown,Yes,No,No,Yes,No
41,Male,United States,No,No,Yes,Often, 6-25,Yes,Yes,No,Unknown,No,No,Don't know,Very difficult,Unknown,Unknown,Unknown,Unknown,Maybe,Maybe,Unknown,No
37,Male,Ireland,No,No,No,Sometimes, 1-5,No,Yes,No,Yes,No,No,Don't know,Very difficult,Yes,No,No,No,No,Yes,Unknown,No
34,Male,Austria,No,Yes,No,Unknown, 100-500,Yes,Yes,Unknown,No,Unknown,Unknown,Don't know,Very easy,No,No,Yes,Yes,No,No,Yes,No
32,Male,United Kingdom,No,Yes,Yes,Sometimes, 100-500,Yes,Yes,Unknown,Unknown,No,No,Don't know,Somewhat difficult,Yes,Unknown,No,No,No,No,No,Yes
21,Male,Canada,No,No,Yes,Sometimes, 6-25,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,No,No,Unknown,Unknown,Maybe,Maybe,Yes,No
30,Other,United States,No,No,Yes,Often, 26-100,No,Yes,No,Yes,No,No,Yes,Somewhat easy,Unknown,No,Yes,Yes,No,Maybe,Unknown,No
24,Male,United States,No,No,No,Never, 26-100,No,Yes,Unknown,Unknown,No,Unknown,Don't know,Unknown,No,No,Unknown,Yes,No,No,Unknown,No
26,Male,Bulgaria,No,No,No,Unknown, 100-500,No,Yes,No,No,No,No,No,Very easy,Yes,Unknown,No,No,No,Maybe,Unknown,No
40,Other,United States,No,No,No,Unknown, 26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Unknown,Yes,No,No,Yes,No
37,Male,United Kingdom,No,Yes,No,Sometimes, 26-100,No,No,No,No,No,No,Don't know,Unknown,Yes,Unknown,Unknown,Yes,No,Maybe,Unknown,No
26,Male,United Kingdom,Yes,No,Yes,Often, 1-5,Yes,Yes,No,No,No,No,Don't know,Unknown,Yes,No,No,No,No,Maybe,Unknown,No
32,Other,United States,No,Yes,Yes,Sometimes, 6-25,No,Yes,Unknown,No,No,No,No,Unknown,Yes,Unknown,Unknown,Unknown,No,Maybe,No,Yes
32,Other,United States,No,No,Yes,Sometimes, 100-500,No,No,Yes,Yes,Unknown,Unknown,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,No
27,Other,United States,Yes,Yes,Yes,Sometimes, 1-5,Yes,Yes,No,No,Unknown,Unknown,Don't know,Very difficult,No,No,Unknown,No,No,No,Unknown,No
30,Male,Germany,Yes,No,Yes,Often, 6-25,Yes,Yes,Yes,Yes,No,No,Yes,Very difficult,No,No,Unknown,Yes,Maybe,Yes,Yes,No
31,Other,Canada,Yes,No,No,Unknown, 6-25,No,Yes,Yes,Yes,No,Unknown,Yes,Very easy,No,No,Unknown,Unknown,No,No,Yes,No
29,Other,United States,No,No,Yes,Never, 500-1000,No,No,Yes,No,No,Unknown,Don't know,Somewhat difficult,Unknown,No,Unknown,No,No,No,Unknown,No
41,Other,United States,No,No,No,Unknown, 26-100,No,Yes,Yes,Unknown,No,No,Don't know,Very easy,Yes,No,No,Unknown,No,No,Unknown,No
34,Other,United States,No,No,No,Unknown, 6-25,No,Yes,Yes,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
33,Male,United Kingdom,No,No,No,Unknown, 26-100,No,Yes,Unknown,No,No,No,Don't know,Unknown,No,No,Yes,Yes,Yes,Yes,Unknown,No
28,Male,United States,No,No,No,Rarely, 6-25,No,Yes,Unknown,No,No,No,Don't know,Unknown,No,No,Unknown,Unknown,No,Maybe,Unknown,No
28,Male,United States,No,No,Yes,Sometimes, 1000+,No,Yes,No,Yes,No,No,Yes,Very difficult,Yes,No,No,Unknown,No,No,No,No
23,Male,United States,No,No,No,Never, 26-100,No,Yes,Unknown,Unknown,Unknown,Unknown,Don't know,Unknown,No,No,No,Yes,No,Yes,Yes,No
24,Other,United States,No,No,No,Unknown, 1-5,No,Yes,Unknown,No,Unknown,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
32,Male,United States,No,No,No,Rarely, 1-5,Yes,Yes,No,Yes,No,No,Don't know,Very difficult,No,No,Unknown,Yes,No,Maybe,Yes,No
34,Male,Australia,Yes,No,No,Sometimes, 1-5,Yes,Yes,Unknown,Unknown,Yes,Yes,Don't know,Somewhat difficult,Yes,Yes,No,No,No,Maybe,Yes,No
24,Male,United States,No,No,No,Never, 6-25,No,Yes,Yes,Unknown,No,Unknown,Don't know,Very easy,Unknown,No,Unknown,No,Maybe,Maybe,Yes,No
26,Male,United Kingdom,Yes,No,Yes,Sometimes, 1-5,No,Yes,No,Yes,No,No,Don't know,Unknown,Unknown,No,Unknown,Unknown,No,Maybe,Yes,No
36,Male,United States,No,No,Yes,Sometimes, 26-100,No,Yes,Yes,No,No,Yes,Don't know,Unknown,Unknown,No,Unknown,Unknown,No,Maybe,Unknown,Yes
41,Male,United States,No,No,Yes,Rarely, 500-1000,Yes,Yes,Yes,Yes,No,Unknown,Don't know,Unknown,Unknown,Unknown,Unknown,No,Maybe,Maybe,No,No
38,Male,United Kingdom,No,No,Yes,Sometimes, 1000+,No,No,Unknown,Unknown,Unknown,Unknown,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No
38,Male,United States,No,No,No,Sometimes, 26-100,Yes,Yes,Unknown,Unknown,No,Unknown,Don't know,Unknown,Unknown,Unknown,Unknown,Yes,No,Maybe,No,No
30,Male,Netherlands,No,No,No,Unknown, 26-100,No,Yes,Unknown,No,Unknown,Unknown,Yes,Somewhat easy,No,No,Unknown,Unknown,No,No,Yes,No
25,Male,United Kingdom,No,No,No,Never, 26-100,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,Unknown,No,No,No,Maybe,No,No
37,Male,Canada,No,Yes,Yes,Often, 26-100,No,Yes,Yes,Yes,No,Unknown,Don't know,Unknown,Unknown,No,Unknown,Unknown,No,Yes,Unknown,No
34,Male,United Kingdom,No,Yes,No,Unknown, 6-25,No,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Unknown,Yes,No,Yes,No,Yes
37,Other,United States,No,Yes,Yes,Sometimes, 1000+,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Unknown,Unknown,No,Maybe,Yes,No
28,Other,Canada,No,Yes,Yes,Sometimes, 6-25,No,No,Yes,Yes,Yes,Yes,Yes,Unknown,No,No,Unknown,Yes,No,No,No,Yes
22,Male,Sweden,No,No,No,Unknown, 6-25,No,Yes,Unknown,No,No,No,Don't know,Unknown,No,No,Unknown,Yes,Maybe,Maybe,No,No
34,Male,United States,No,Yes,Yes,Sometimes, 1-5,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Unknown,No,Unknown,Unknown,No,Maybe,No,Yes
33,Other,United States,No,Yes,Yes,Sometimes, 26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Unknown,Yes,No,No,Unknown,No
25,Male,South Africa,No,No,No,Unknown, 6-25,No,Yes,No,No,No,No,Yes,Somewhat difficult,Unknown,No,Unknown,Yes,No,Yes,No,No
27,Male,United States,No,No,No,Never, 1000+,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Somewhat easy,No,No,Unknown,Yes,Maybe,Maybe,Yes,No
40,Other,United States,No,No,Yes,Sometimes, 1000+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,No,No,No,Maybe,No,Yes
21,Male,United States,No,No,Yes,Often, 6-25,No,No,Unknown,No,No,Unknown,Don't know,Unknown,Unknown,No,No,No,No,Maybe,Unknown,No
29,Male,United Kingdom,No,No,No,Unknown, 6-25,No,No,No,No,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
32,Other,United States,No,Yes,Yes,Sometimes, 1-5,Yes,Yes,No,No,No,No,Don't know,Unknown,Unknown,No,Yes,Yes,No,Yes,Unknown,No
29,Other,United States,No,Yes,Yes,Rarely, 500-1000,Yes,No,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,No,Unknown,No,Maybe,Yes,Unknown,No
23,Male,United States,No,Yes,Yes,Sometimes, 26-100,Yes,No,Unknown,No,No,Unknown,Yes,Somewhat easy,Unknown,No,Unknown,Unknown,No,Yes,Yes,No
28,Male,United States,No,Yes,No,Unknown, 100-500,No,Yes,Yes,No,No,Unknown,Yes,Somewhat easy,No,No,Unknown,Yes,No,Maybe,Yes,Yes
31,Male,United States,No,Yes,Yes,Rarely, 100-500,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Very easy,No,No,Unknown,Yes,No,Maybe,Yes,No
27,Male,United Kingdom,No,No,No,Unknown, 100-500,No,No,Unknown,Unknown,Unknown,Unknown,No,Very easy,Unknown,Unknown,Yes,Yes,No,No,Unknown,No
24,Male,United States,No,No,No,Sometimes, 6-25,No,Yes,Unknown,No,Unknown,Unknown,Don't know,Unknown,No,No,Yes,Yes,Maybe,Maybe,Unknown,No
29,Male,Canada,No,No,No,Often, 6-25,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,Maybe,Unknown,No
23,Other,United Kingdom,No,No,Yes,Sometimes, 6-25,No,Yes,Unknown,Unknown,Unknown,Unknown,Don't know,Unknown,Unknown,Unknown,Unknown,Unknown,No,Maybe,Yes,No
42,Male,United States,No,No,No,Never, 6-25,Yes,Yes,No,Yes,No,Yes,Don't know,Somewhat easy,No,No,Unknown,Yes,No,No,Yes,No
24,Male,United Kingdom,No,No,No,Unknown, 1-5,No,Yes,No,No,No,No,Don't know,Unknown,Yes,No,Unknown,Unknown,No,Yes,No,No
25,Male,Australia,No,Yes,Yes,Often, 6-25,No,Yes,No,Yes,No,No,No,Very difficult,Yes,Unknown,No,No,No,Yes,No,Yes
27,Other,United States,No,No,Yes,Rarely, 6-25,No,Yes,Yes,No,No,No,Yes,Unknown,Unknown,Unknown,Yes,No,No,Maybe,Unknown,No
27,Male,Canada,No,No,No,Sometimes, 6-25,Yes,Yes,No,Yes,No,No,No,Very difficult,Yes,Yes,Unknown,Unknown,No,Maybe,No,No
30,Male,United States,No,No,Yes,Sometimes, 100-500,Yes,Yes,Yes,Yes,No,Yes,Yes,Unknown,No,No,Yes,Yes,Maybe,No,Yes,No
29,Male,Poland,No,Yes,Yes,Rarely, 6-25,No,Yes,No,Yes,No,No,Yes,Very difficult,Unknown,No,Unknown,Unknown,No,Yes,No,No
43,Male,Canada,Yes,No,No,Unknown, 6-25,Yes,Yes,No,Unknown,No,No,Don't know,Somewhat easy,Unknown,No,Yes,Yes,Yes,Yes,Unknown,No
32,Male,United States,No,No,No,Unknown, 6-25,No,Yes,No,Yes,No,Unknown,Don't know,Very easy,No,No,Unknown,Yes,No,Maybe,Unknown,No
41,Male,United States,No,No,Yes,Sometimes, 26-100,Yes,Yes,Yes,Yes,Unknown,No,Don't know,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
32,Male,United Kingdom,Yes,Yes,Yes,Sometimes, 1-5,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Don't know,Very easy,Unknown,Unknown,Yes,Unknown,Maybe,Maybe,Unknown,Yes
37,Other,United States,No,Yes,Yes,Often, 26-100,No,Yes,Yes,Yes,No,No,Yes,Unknown,Unknown,No,Unknown,Unknown,No,Yes,Unknown,No
32,Male,United States,No,No,No,Never, 6-25,Yes,Yes,No,No,No,No,Don't know,Very easy,No,No,Yes,Yes,No,No,Unknown,No
30,Male,Ireland,Yes,No,No,Sometimes, 1-5,Yes,Yes,No,No,No,No,Don't know,Somewhat difficult,No,No,Unknown,Unknown,No,Maybe,No,No
23,Other,United States,No,Yes,Yes,Never, 100-500,No,No,Yes,No,Unknown,Unknown,Yes,Unknown,No,No,Unknown,Yes,Maybe,Maybe,Yes,No
30,Male,United States,No,No,No,Unknown, 1000+,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Unknown,Yes,No,No,Yes,No
34,Male,United Kingdom,No,No,No,Sometimes, 26-100,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Unknown,Unknown,Yes,Unknown,No,No,Unknown,No
38,Male,United States,No,No,Yes,Rarely, 26-100,Yes,Yes,Yes,No,No,No,Don't know,Unknown,Yes,No,No,No,No,Maybe,No,No
33,Male,Canada,No,No,No,Unknown, 100-500,No,Yes,Yes,No,Yes,Yes,Yes,Unknown,No,No,Unknown,Yes,No,No,Unknown,No
34,Male,United States,No,No,No,Unknown, 26-100,No,No,Yes,No,No,No,Don't know,Unknown,Unknown,No,Unknown,No,No,No,Unknown,No
28,Male,Colombia,No,No,No,Sometimes, 6-25,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Unknown,Unknown,No,Unknown,No,No,Unknown,No
28,Male,United States,No,No,Yes,Rarely, 100-500,No,No,Yes,Yes,Yes,Unknown,Don't know,Very easy,Unknown,No,Unknown,Unknown,No,No,Yes,No
23,Male,United States,No,Yes,No,Sometimes, 100-500,No,Yes,Unknown,No,No,Unknown,Don't know,Unknown,Unknown,No,Unknown,No,No,Maybe,No,No
22,Male,Australia,Yes,Yes,Yes,Sometimes, 6-25,Yes,Yes,Unknown,Unknown,Yes,Yes,Don't know,Somewhat easy,Unknown,No,Unknown,Yes,No,Yes,No,Yes
27,Male,Portugal,No,No,No,Never, 6-25,No,Yes,No,No,No,No,Yes,Unknown,Yes,No,No,No,No,Maybe,Unknown,No
18,Male,United States,No,No,Yes,Sometimes, 6-25,No,Yes,Unknown,No,No,Unknown,Don't know,Unknown,Yes,No,No,No,No,Maybe,Unknown,No
35,Male,United States,No,Yes,Yes,Sometimes, 26-100,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No,No,Unknown,No,Maybe,Unknown,No
25,Male,Canada,No,No,No,Unknown, 100-500,No,No,Unknown,Unknown,No,No,Don't know,Unknown,No,No,Unknown,Unknown,No,Yes,No,No
27,Male,United Kingdom,No,Yes,Yes,Sometimes, 6-25,No,Yes,No,No,No,No,Yes,Somewhat easy,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No
26,Other,United States,No,Yes,Yes,Rarely, 1000+,No,Yes,Yes,Unknown,Unknown,Unknown,Don't know,Unknown,Unknown,No,Unknown,Unknown,No,No,Unknown,No
18,Male,United States,No,No,No,Never, 26-100,No,Yes,Unknown,Unknown,Unknown,Unknown,Don't know,Very easy,No,No,Unknown,Unknown,No,Maybe,Yes,No
38,Other,United States,No,No,Yes,Sometimes, 1-5,No,Yes,No,Yes,No,No,Don't know,Unknown,No,Unknown,Unknown,No,No,No,Unknown,Yes
26,Other,United States,No,Yes,Yes,Rarely, 1000+,Yes,Yes,Yes,Yes,Yes,Unknown,Don't know,Somewhat easy,Unknown,No,Unknown,No,No,No,Unknown,No
30,Male,Switzerland,Yes,No,No,Never, 1-5,No,Yes,No,No,No,No,No,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
35,Male,United States,No,No,No,Never, 1000+,No,Yes,Unknown,No,No,Unknown,Don't know,Unknown,Yes,Unknown,Unknown,Unknown,No,No,Unknown,No
45,Male,United States,No,Yes,Yes,Sometimes, 1000+,No,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,No,Unknown,Unknown,No,Maybe,Unknown,No
32,Male,United States,No,No,No,Never, 1000+,No,Yes,Yes,No,No,Unknown,Don't know,Unknown,Unknown,No,Unknown,Unknown,No,No,Unknown,No
56,Male,United States,No,No,Yes,Never, 1000+,No,Yes,Yes,Unknown,Unknown,Unknown,Don't know,Unknown,No,Unknown,Yes,Unknown,No,Maybe,Unknown,No
24,Other,United States,No,No,No,Unknown, 500-1000,No,Yes,Unknown,Unknown,No,Unknown,Don't know,Unknown,Unknown,Unknown,Unknown,No,No,Maybe,No,No
30,Other,United States,No,Yes,Yes,Sometimes, 26-100,No,Yes,Yes,Yes,Yes,Unknown,Don't know,Very easy,No,No,Yes,Yes,No,Yes,Yes,No
60,Male,United States,No,No,No,Unknown, 1000+,No,Yes,Yes,No,Unknown,Yes,Don't know,Unknown,No,No,Unknown,Yes,Maybe,Maybe,Yes,No
33,Male,United States,No,Yes,Yes,Sometimes, 1000+,No,Yes,Yes,No,Yes,Yes,Don't know,Unknown,Yes,No,No,No,No,Maybe,Unknown,No
37,Other,United States,No,No,No,Never, 1000+,No,Yes,Yes,Yes,Yes,Yes,Don't know,Unknown,No,No,Unknown,Yes,Maybe,Maybe,Unknown,No
23,Other,United States,No,No,Yes,Sometimes, 1000+,No,Yes,Yes,Yes,Yes,Yes,Don't know,Unknown,No,No,Unknown,Unknown,No,No,Yes,No
31,Other,United States,No,No,Yes,Sometimes, 1000+,No,Yes,Yes,Unknown,Unknown,Unknown,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
26,Male,United States,No,No,No,Rarely, 100-500,No,Yes,Yes,Unknown,No,Unknown,Don't know,Unknown,No,No,Unknown,Yes,No,Maybe,Unknown,No
28,Other,United States,No,Yes,Yes,Often, 100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No,Unknown,Yes,No,No,Yes,No
37,Other,United States,No,No,Yes,Rarely, 1000+,No,Yes,Yes,Yes,Unknown,Yes,Don't know,Somewhat easy,No,No,Unknown,Yes,No,No,Yes,No
26,Male,Canada,No,Yes,Yes,Often, 6-25,No,Yes,Yes,No,No,Unknown,Don't know,Unknown,Unknown,No,Unknown,Unknown,Maybe,Maybe,Yes,No
30,Female,United States,No,Yes,Yes,Rarely, 26-100,No,Yes,Yes,Unknown,No,No,Don't know,Somewhat easy,Unknown,No,Unknown,Yes,No,No,Unknown,No
26,Other,United States,No,No,No,Unknown, 26-100,No,Yes,No,No,No,No,Don't know,Unknown,No,No,Unknown,Unknown,No,No,Unknown,Yes
25,Male,United States,No,No,No,Unknown, 26-100,Yes,Yes,Unknown,Unknown,No,Unknown,Don't know,Unknown,No,No,Unknown,Yes,No,No,Unknown,No
27,Male,United States,No,No,No,Sometimes, 100-500,No,Yes,Yes,Unknown,Yes,Yes,Don't know,Unknown,Unknown,No,Unknown,Yes,No,Maybe,Unknown,No
25,Male,Canada,No,No,Yes,Often, 6-25,Yes,No,Unknown,No,No,Unknown,Don't know,Somewhat difficult,Yes,Unknown,No,No,No,Maybe,Unknown,No
35,Male,United States,No,No,Yes,Rarely, 100-500,No,Yes,Yes,Unknown,Unknown,Yes,Don't know,Unknown,No,No,Unknown,Yes,No,No,Unknown,No
36,Male,United States,Yes,No,Yes,Never, 1-5,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Unknown,No,Unknown,Yes,No,No,Yes,No
26,Male,United States,No,Yes,Yes,Sometimes, 1000+,No,Yes,Yes,Unknown,No,Unknown,Don't know,Unknown,Yes,No,No,No,No,No,No,No
27,Male,United States,No,Yes,No,Unknown, 1000+,No,Yes,Unknown,No,Unknown,Unknown,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
30,Male,United States,No,No,No,Unknown, 6-25,No,No,Unknown,Unknown,No,Unknown,Don't know,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,No
29,Other,United States,No,No,No,Unknown, 100-500,No,No,Unknown,Unknown,No,Unknown,Don't know,Unknown,Unknown,No,No,No,No,Maybe,Unknown,No
25,Male,United States,No,No,No,Never, 1000+,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Unknown,Yes,Maybe,Maybe,Yes,No
22,Other,United States,No,Yes,Yes,Often, 1000+,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Unknown,No,No,Unknown,No,No,Yes,Yes
29,Male,Latvia,No,No,No,Unknown, 26-100,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,No
41,Male,United States,No,Yes,Yes,Rarely, 100-500,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Somewhat easy,No,No,Unknown,Yes,Maybe,Maybe,Yes,No
29,Male,United States,No,No,Yes,Sometimes, 1000+,No,Yes,Yes,No,No,Unknown,Don't know,Unknown,Yes,No,Unknown,Unknown,No,Maybe,No,No
32,Male,United States,No,No,No,Never, 500-1000,No,Yes,Yes,Unknown,Unknown,Yes,Yes,Somewhat easy,No,No,Unknown,Yes,Maybe,Maybe,Yes,No
24,Other,United States,No,Yes,Yes,Sometimes, 1000+,No,Yes,Yes,Yes,No,Yes,Yes,Unknown,Unknown,No,Unknown,No,No,Maybe,Unknown,No
25,Male,United States,No,No,Yes,Rarely, 6-25,No,Yes,Yes,No,Unknown,No,Don't know,Unknown,Unknown,No,No,No,No,No,Unknown,No
25,Other,United States,No,No,No,Unknown, 1000+,No,Yes,Unknown,Unknown,Unknown,Unknown,Don't know,Unknown,Unknown,No,No,No,No,Maybe,Unknown,No
30,Other,United States,No,No,No,Never, 1000+,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Unknown,Unknown,No,Unknown,No,No,Unknown,No
25,Male,United States,No,Yes,Yes,Sometimes, 1000+,No,Yes,Unknown,Unknown,Unknown,Yes,Don't know,Unknown,No,No,Yes,Yes,No,No,Yes,No
30,Male,United States,Yes,No,No,Never, 1-5,Yes,Yes,No,Yes,No,No,Don't know,Unknown,Unknown,No,Unknown,Unknown,No,Maybe,Unknown,No
33,Male,Germany,Yes,Yes,Yes,Rarely, 1-5,No,No,No,No,No,No,Don't know,Somewhat difficult,Yes,Yes,No,No,Maybe,No,Yes,Yes
